epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2353,1.80799,2.66883,1.28758,0.98833,0.09126,0.24073,0.13494,1.43896,2.63164,1.09406,0.000465256,0.000465256,0.000465256
2,17.7233,1.36148,1.37194,1.0135,0.35937,0.28277,0.30891,0.17019,1.39124,2.03996,1.04765,0.000922946,0.000922946,0.000922946
3,25.1699,1.27345,1.13118,0.99415,0.55571,0.37885,0.41943,0.25428,1.27185,1.47301,1.06202,0.00136177,0.00136177,0.00136177
4,32.6838,1.22881,1.00638,0.97754,0.83425,0.42438,0.48943,0.30475,1.23288,1.13791,1.05658,0.00134412,0.00134412,0.00134412
5,40.2436,1.15643,0.90746,0.97137,0.5907,0.48814,0.52173,0.3068,1.24673,1.0504,1.03638,0.00131582,0.00131582,0.00131582
6,47.7026,1.16937,0.87928,0.95886,0.68007,0.44353,0.49368,0.29846,1.22889,1.07148,1.047,0.00128753,0.00128753,0.00128753
7,54.9599,1.13672,0.82562,0.94243,0.64036,0.48449,0.51027,0.31631,1.18485,1.03584,1.0222,0.00125923,0.00125923,0.00125923
8,62.3085,1.08907,0.7783,0.93655,0.47147,0.49845,0.4908,0.2967,1.1789,1.06465,1.01814,0.00123094,0.00123094,0.00123094
9,69.6829,1.07586,0.77329,0.94204,0.5566,0.50476,0.50632,0.30243,1.23271,1.05442,1.03297,0.00120265,0.00120265,0.00120265
10,77.1154,1.09192,0.75401,0.93096,0.80929,0.54368,0.60224,0.39192,1.13436,0.91261,1.00844,0.00117435,0.00117435,0.00117435
11,84.6611,1.06432,0.71291,0.92468,0.70189,0.53063,0.59343,0.37048,1.19105,0.89121,1.02459,0.00114606,0.00114606,0.00114606
12,92.1425,1.03008,0.68573,0.92155,0.69583,0.54996,0.59797,0.37419,1.1443,0.87742,0.99526,0.00111776,0.00111776,0.00111776
13,99.6368,1.02852,0.68435,0.92214,0.76753,0.55069,0.64004,0.4058,1.14828,0.9002,0.997,0.00108947,0.00108947,0.00108947
14,107.023,0.99743,0.67154,0.92172,0.6826,0.59246,0.61892,0.39618,1.18992,0.88985,1.01743,0.00106118,0.00106118,0.00106118
15,114.386,0.99532,0.65154,0.91002,0.68183,0.51262,0.56738,0.3722,1.11611,0.97789,1.00524,0.00103288,0.00103288,0.00103288
16,121.899,0.96547,0.63216,0.90568,0.79017,0.55091,0.6048,0.37799,1.21198,0.92309,1.03776,0.00100459,0.00100459,0.00100459
17,129.356,0.96137,0.62725,0.90611,0.78226,0.59878,0.6746,0.43824,1.13151,0.81724,0.9993,0.000976293,0.000976293,0.000976293
18,136.889,0.9278,0.59961,0.89646,0.7931,0.63617,0.67953,0.44204,1.14887,0.81071,1.01121,0.000947999,0.000947999,0.000947999
19,144.356,0.94008,0.60123,0.90164,0.66796,0.57023,0.61474,0.39099,1.16623,0.82695,1.01461,0.000919704,0.000919704,0.000919704
20,151.845,0.93432,0.59049,0.89612,0.77808,0.603,0.66921,0.43855,1.16392,0.81012,1.03112,0.00089141,0.00089141,0.00089141
21,159.279,0.92512,0.57606,0.89564,0.81373,0.54818,0.61901,0.41343,1.16771,0.83787,1.03003,0.000863116,0.000863116,0.000863116
22,166.761,0.92735,0.57668,0.89117,0.80283,0.55119,0.62669,0.41563,1.12262,0.82964,0.996,0.000834822,0.000834822,0.000834822
