epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,174.215,0.88893,0.55531,0.88899,0.74498,0.57431,0.64592,0.41523,1.16628,0.82347,1.03045,0.000806528,0.000806528,0.000806528
24,181.605,0.91237,0.55821,0.8927,0.80496,0.59835,0.66488,0.4262,1.1376,0.81099,0.99491,0.000778233,0.000778233,0.000778233
25,189.158,0.89392,0.54237,0.8887,0.7291,0.6443,0.6965,0.443,1.15139,0.77191,1.00857,0.000749939,0.000749939,0.000749939
26,196.645,0.84769,0.52832,0.88151,0.82044,0.66098,0.70756,0.45678,1.1467,0.69344,1.01727,0.000721645,0.000721645,0.000721645
27,204.139,0.8786,0.53192,0.88076,0.75816,0.64846,0.70105,0.45617,1.13006,0.73202,1.02568,0.000693351,0.000693351,0.000693351
28,211.594,0.8711,0.52331,0.87366,0.86663,0.5806,0.67272,0.43787,1.12962,0.78093,1.02102,0.000665057,0.000665057,0.000665057
29,218.902,0.82716,0.50812,0.87761,0.81649,0.61615,0.68991,0.45529,1.11106,0.74707,1.00323,0.000636762,0.000636762,0.000636762
30,226.18,0.81171,0.49597,0.8734,0.87286,0.58285,0.66962,0.43045,1.11917,0.76771,0.99804,0.000608468,0.000608468,0.000608468
31,233.689,0.82164,0.49938,0.87752,0.93516,0.58838,0.71281,0.48233,1.11665,0.72943,0.99886,0.000580174,0.000580174,0.000580174
32,241.06,0.83068,0.50483,0.87542,0.79434,0.6272,0.69535,0.44978,1.13851,0.76928,1.01097,0.00055188,0.00055188,0.00055188
33,248.606,0.81322,0.49346,0.87492,0.81128,0.66267,0.72374,0.46767,1.14545,0.76071,1.00572,0.000523586,0.000523586,0.000523586
34,255.928,0.79715,0.48524,0.87319,0.94315,0.52542,0.68085,0.44429,1.14065,0.7504,1.00617,0.000495291,0.000495291,0.000495291
35,263.386,0.77384,0.46905,0.8641,0.77764,0.63597,0.699,0.45789,1.1345,0.7409,1.00806,0.000466997,0.000466997,0.000466997
36,270.768,0.79599,0.47576,0.86615,0.80325,0.60428,0.68742,0.44835,1.11282,0.71965,0.99985,0.000438703,0.000438703,0.000438703
37,278.345,0.77002,0.4736,0.86354,0.91085,0.58988,0.70498,0.4701,1.08902,0.69699,0.98233,0.000410409,0.000410409,0.000410409
38,285.921,0.75885,0.4527,0.85532,0.81769,0.64889,0.72923,0.47858,1.1052,0.66858,0.99411,0.000382115,0.000382115,0.000382115
39,293.394,0.77561,0.46673,0.86459,0.818,0.62573,0.71893,0.47994,1.10256,0.64959,0.998,0.00035382,0.00035382,0.00035382
40,300.698,0.72791,0.44318,0.85533,0.8361,0.60835,0.70796,0.47253,1.12355,0.70229,0.99828,0.000325526,0.000325526,0.000325526
41,339.878,1.00193,0.58711,0.92726,0.89841,0.59087,0.70403,0.47,1.09589,0.70185,0.98314,0.000297232,0.000297232,0.000297232
42,347.11,1.00076,0.55486,0.91917,0.92474,0.58191,0.71241,0.46852,1.0973,0.67829,0.97324,0.000268938,0.000268938,0.000268938
43,354.356,0.97014,0.53392,0.9096,0.92793,0.63075,0.74957,0.49831,1.06755,0.64482,0.9687,0.000240644,0.000240644,0.000240644
44,361.733,0.95868,0.51895,0.90687,0.85088,0.64082,0.74059,0.48559,1.07292,0.65129,0.96076,0.000212349,0.000212349,0.000212349
45,369.213,0.96367,0.51915,0.9035,0.84469,0.68591,0.75698,0.50829,1.0557,0.60257,0.96456,0.000184055,0.000184055,0.000184055
46,376.565,0.95095,0.51072,0.89788,0.91495,0.65072,0.76585,0.51213,1.06651,0.59075,0.95954,0.000155761,0.000155761,0.000155761
47,384.028,0.92847,0.49619,0.89897,0.93263,0.63765,0.76872,0.50999,1.06057,0.58229,0.96192,0.000127467,0.000127467,0.000127467
48,391.426,0.92416,0.49514,0.8923,0.91639,0.64876,0.77078,0.51914,1.06327,0.5866,0.96611,9.91726e-05,9.91726e-05,9.91726e-05
49,398.727,0.93454,0.4898,0.8922,0.94969,0.63554,0.77123,0.51633,1.05233,0.57798,0.96085,7.08784e-05,7.08784e-05,7.08784e-05
50,406.195,0.91042,0.48099,0.89297,0.92462,0.6441,0.77141,0.51662,1.05789,0.57484,0.96229,4.25842e-05,4.25842e-05,4.25842e-05
