epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9839,1.7954,2.65358,1.28662,0.97966,0.12293,0.25672,0.13854,1.40827,2.71939,1.06107,0.000465256,0.000465256,0.000465256
2,21.1698,1.37471,1.34298,1.00653,0.75888,0.29228,0.33727,0.18959,1.40898,1.74999,1.04886,0.000929937,0.000929937,0.000929937
3,29.202,1.26823,1.13814,0.99467,0.50464,0.30836,0.3669,0.22435,1.25888,1.43051,1.03841,0.00138283,0.00138283,0.00138283
4,37.3447,1.2281,1.01948,0.98129,0.81897,0.40446,0.45734,0.25927,1.24651,1.17196,1.06091,0.00137595,0.00137595,0.00137595
5,45.2664,1.16262,0.93416,0.96979,0.50006,0.42811,0.43895,0.27406,1.27168,1.15137,1.0744,0.00135826,0.00135826,0.00135826
6,53.3719,1.20088,0.91659,0.97794,0.89476,0.38451,0.46463,0.27066,1.26668,1.16852,1.05152,0.00134058,0.00134058,0.00134058
7,61.2144,1.12631,0.85019,0.94859,0.67494,0.52924,0.55713,0.34114,1.2253,1.07779,1.04185,0.0013229,0.0013229,0.0013229
8,69.057,1.1007,0.79651,0.93876,0.60558,0.46638,0.45609,0.27052,1.19166,1.13338,1.01289,0.00130521,0.00130521,0.00130521
9,76.8927,1.12646,0.79991,0.94671,0.6726,0.48779,0.5476,0.3368,1.21222,0.96928,1.02961,0.00128753,0.00128753,0.00128753
10,84.8941,1.11367,0.7591,0.94295,0.68574,0.54644,0.6071,0.38998,1.13506,0.87154,0.99678,0.00126985,0.00126985,0.00126985
11,92.8943,1.06088,0.71904,0.929,0.70747,0.55813,0.61618,0.39054,1.17332,0.86687,1.01336,0.00125216,0.00125216,0.00125216
12,100.93,1.03877,0.70184,0.93223,0.80712,0.53141,0.60416,0.37709,1.18569,0.93999,1.0154,0.00123448,0.00123448,0.00123448
13,108.919,1.05692,0.70638,0.9292,0.81647,0.56648,0.64787,0.41049,1.18678,0.81766,1.01465,0.00121679,0.00121679,0.00121679
14,116.937,1.05103,0.70436,0.92701,0.73795,0.5475,0.60825,0.3864,1.22323,0.81726,1.03911,0.00119911,0.00119911,0.00119911
15,124.848,1.00011,0.65604,0.90924,0.75031,0.58232,0.61392,0.3999,1.11227,0.83068,0.98857,0.00118143,0.00118143,0.00118143
16,132.774,0.96324,0.6407,0.91048,0.8306,0.5592,0.61134,0.39949,1.17312,0.9187,1.01136,0.00116374,0.00116374,0.00116374
17,140.68,0.98265,0.63309,0.90612,0.76654,0.57746,0.62182,0.39554,1.18992,0.88685,1.01714,0.00114606,0.00114606,0.00114606
18,148.834,0.95792,0.62202,0.90692,0.72612,0.56262,0.61875,0.3948,1.13873,0.88618,1.00138,0.00112837,0.00112837,0.00112837
19,156.751,0.98313,0.62202,0.90743,0.73719,0.54329,0.60888,0.39271,1.14358,0.85469,1.00045,0.00111069,0.00111069,0.00111069
20,164.962,0.96843,0.62103,0.90587,0.81294,0.57864,0.64818,0.42323,1.16525,0.83515,1.0143,0.00109301,0.00109301,0.00109301
21,172.859,0.95763,0.60041,0.90298,0.87204,0.54653,0.66221,0.42474,1.14639,0.75048,0.99094,0.00107532,0.00107532,0.00107532
22,180.742,0.93608,0.59058,0.89808,0.72945,0.57998,0.62674,0.40718,1.08944,0.75394,0.97281,0.00105764,0.00105764,0.00105764
23,188.646,0.9124,0.56477,0.89474,0.75811,0.61773,0.65523,0.4344,1.1475,0.78339,1.01228,0.00103995,0.00103995,0.00103995
24,196.888,0.94486,0.57101,0.89574,0.76505,0.58173,0.6445,0.41854,1.15125,0.78503,0.99355,0.00102227,0.00102227,0.00102227
25,205.154,0.91531,0.559,0.89597,0.74981,0.594,0.64484,0.40849,1.15319,0.78823,1.01245,0.00100459,0.00100459,0.00100459
26,213.14,0.89022,0.55652,0.89183,0.81885,0.52583,0.65236,0.42796,1.15664,0.82254,1.01342,0.000986903,0.000986903,0.000986903
27,221.043,0.89231,0.55022,0.89048,0.76925,0.56928,0.62888,0.40394,1.19148,0.81942,1.03586,0.000969219,0.000969219,0.000969219
28,228.999,0.88241,0.53097,0.88661,0.79125,0.58325,0.64602,0.4246,1.13423,0.81013,1.00802,0.000951535,0.000951535,0.000951535
