epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,236.858,0.86014,0.52205,0.88231,0.73157,0.58488,0.64983,0.43236,1.15728,0.7992,1.00687,0.000933851,0.000933851,0.000933851
30,244.875,0.83639,0.51202,0.88285,0.76898,0.54414,0.63332,0.39947,1.14774,0.767,1.00989,0.000916168,0.000916168,0.000916168
31,252.845,0.85524,0.51828,0.88216,0.81749,0.5393,0.6435,0.42677,1.13128,0.75716,1.01039,0.000898484,0.000898484,0.000898484
32,260.977,0.88737,0.52454,0.88603,0.75589,0.64456,0.69576,0.46011,1.13056,0.68775,1.00241,0.0008808,0.0008808,0.0008808
33,268.941,0.8554,0.5122,0.87897,0.81864,0.62956,0.68742,0.45273,1.12711,0.72753,1.00295,0.000863116,0.000863116,0.000863116
34,276.775,0.83828,0.50279,0.87781,0.73011,0.6666,0.68597,0.44908,1.14057,0.6918,1.01232,0.000845432,0.000845432,0.000845432
35,284.749,0.83956,0.50137,0.87616,0.69234,0.63197,0.65579,0.42306,1.1299,0.68262,0.99593,0.000827748,0.000827748,0.000827748
36,292.555,0.83282,0.4947,0.87695,0.72539,0.58457,0.65897,0.42536,1.1338,0.74282,1.00411,0.000810064,0.000810064,0.000810064
37,300.732,0.83148,0.49644,0.87326,0.9136,0.58302,0.73157,0.47624,1.13639,0.64509,1.01768,0.00079238,0.00079238,0.00079238
38,308.666,0.80105,0.48086,0.86734,0.84282,0.60014,0.70498,0.46456,1.08073,0.70576,0.97889,0.000774697,0.000774697,0.000774697
39,316.581,0.8093,0.49531,0.86954,0.72509,0.64118,0.68665,0.45561,1.11663,0.72142,0.99734,0.000757013,0.000757013,0.000757013
40,324.491,0.78046,0.47924,0.86386,0.78548,0.64405,0.70567,0.46905,1.12137,0.73751,1.006,0.000739329,0.000739329,0.000739329
41,332.454,0.78956,0.48119,0.86746,0.76224,0.61546,0.6649,0.42907,1.16422,0.80312,1.02454,0.000721645,0.000721645,0.000721645
42,340.376,0.7866,0.47351,0.86682,0.77725,0.57861,0.6515,0.43154,1.10855,0.78505,1.00342,0.000703961,0.000703961,0.000703961
43,348.246,0.80676,0.48157,0.86068,0.77357,0.57778,0.65165,0.43222,1.11415,0.73577,1.00176,0.000686277,0.000686277,0.000686277
44,356.201,0.77104,0.45878,0.8648,0.73377,0.67592,0.71632,0.473,1.11338,0.67681,1.01462,0.000668593,0.000668593,0.000668593
45,364.194,0.75233,0.45442,0.86008,0.78626,0.64392,0.72648,0.47728,1.1193,0.68566,1.01602,0.000650909,0.000650909,0.000650909
46,372.144,0.76903,0.46165,0.86213,0.8537,0.61958,0.69883,0.45876,1.1451,0.69192,1.01271,0.000633226,0.000633226,0.000633226
47,380.179,0.7635,0.45598,0.86224,0.88497,0.6067,0.71041,0.46828,1.11124,0.71405,1.00201,0.000615542,0.000615542,0.000615542
48,388.149,0.75192,0.44884,0.85537,0.80733,0.63114,0.68645,0.45635,1.10437,0.72199,1.00413,0.000597858,0.000597858,0.000597858
49,396.104,0.7348,0.44635,0.8567,0.85875,0.59682,0.68027,0.44807,1.11397,0.71234,1.00761,0.000580174,0.000580174,0.000580174
50,404.067,0.75414,0.455,0.85639,0.92484,0.59002,0.70732,0.4639,1.11592,0.68253,1.00014,0.00056249,0.00056249,0.00056249
51,412.2,0.74623,0.4479,0.85611,0.86994,0.59245,0.70712,0.44896,1.13168,0.69523,1.01445,0.000544806,0.000544806,0.000544806
52,420.298,0.73842,0.43949,0.853,0.92006,0.58687,0.70029,0.45986,1.11848,0.68916,1.00967,0.000527122,0.000527122,0.000527122
53,428.237,0.74035,0.44198,0.8539,0.8426,0.61573,0.69908,0.46706,1.10707,0.69947,1.00369,0.000509438,0.000509438,0.000509438
54,436.165,0.72611,0.42891,0.85687,0.88417,0.6251,0.72234,0.47821,1.12578,0.68846,1.01361,0.000491755,0.000491755,0.000491755
55,443.936,0.72371,0.43097,0.84918,0.79118,0.67434,0.7294,0.47839,1.09045,0.64595,0.99305,0.000474071,0.000474071,0.000474071
56,451.717,0.72634,0.42566,0.84982,0.81023,0.69922,0.72536,0.47688,1.1078,0.65812,1.01284,0.000456387,0.000456387,0.000456387
57,459.462,0.69712,0.41636,0.85207,0.86872,0.63423,0.72574,0.4799,1.09733,0.63799,1.00303,0.000438703,0.000438703,0.000438703
58,467.492,0.71549,0.42579,0.85113,0.85277,0.59903,0.68556,0.46017,1.11591,0.68499,1.00949,0.000421019,0.000421019,0.000421019
59,475.517,0.71182,0.4172,0.84772,0.81233,0.6604,0.7239,0.47992,1.11465,0.62099,0.99718,0.000403335,0.000403335,0.000403335
60,483.356,0.70515,0.41315,0.84996,0.8694,0.60605,0.70346,0.47233,1.09152,0.66304,0.99658,0.000385651,0.000385651,0.000385651
61,491.395,0.7226,0.42581,0.84829,0.77645,0.72809,0.74675,0.49026,1.10242,0.56771,0.99263,0.000367967,0.000367967,0.000367967
62,499.48,0.67826,0.40122,0.85171,0.79182,0.74808,0.77479,0.51547,1.08347,0.57947,0.99049,0.000350284,0.000350284,0.000350284
63,507.422,0.68321,0.40315,0.84417,0.74755,0.72094,0.73992,0.49285,1.09522,0.58894,0.99507,0.0003326,0.0003326,0.0003326
64,515.283,0.67416,0.39984,0.84325,0.87619,0.63553,0.74297,0.48977,1.10657,0.61618,1.00587,0.000314916,0.000314916,0.000314916
65,523.278,0.68207,0.40118,0.83752,0.83136,0.68739,0.75333,0.50216,1.10348,0.59731,1.00107,0.000297232,0.000297232,0.000297232
66,531.183,0.65299,0.39202,0.84113,0.89561,0.6279,0.74613,0.48831,1.09927,0.59282,0.99218,0.000279548,0.000279548,0.000279548
67,538.959,0.67961,0.39194,0.84369,0.89634,0.62686,0.73883,0.48796,1.10634,0.58137,0.9955,0.000261864,0.000261864,0.000261864
68,546.785,0.65872,0.39232,0.84248,0.84521,0.68384,0.75775,0.50628,1.09078,0.55404,0.98628,0.00024418,0.00024418,0.00024418
69,554.797,0.66017,0.39103,0.84282,0.92103,0.6395,0.73885,0.49243,1.10058,0.58554,0.99479,0.000226497,0.000226497,0.000226497
70,562.339,0.64839,0.38237,0.83997,0.8536,0.66016,0.74983,0.5064,1.08554,0.57815,0.98548,0.000208813,0.000208813,0.000208813
71,625.117,0.94614,0.50787,0.90396,0.84082,0.59958,0.71527,0.47475,1.08873,0.61061,0.99555,0.000191129,0.000191129,0.000191129
72,632.954,0.92291,0.48054,0.90053,0.87582,0.62021,0.72929,0.48516,1.08357,0.58063,0.98959,0.000173445,0.000173445,0.000173445
73,640.479,0.91095,0.47096,0.89594,0.87012,0.62784,0.71189,0.47439,1.10087,0.6107,1.00521,0.000155761,0.000155761,0.000155761
74,647.93,0.93087,0.4749,0.89686,0.92055,0.60154,0.73291,0.48158,1.10218,0.59065,0.99801,0.000138077,0.000138077,0.000138077
75,655.684,0.89521,0.46332,0.88723,0.89008,0.67222,0.76926,0.51477,1.09531,0.56232,0.99502,0.000120393,0.000120393,0.000120393
76,663.419,0.88754,0.45309,0.88531,0.83003,0.68796,0.7601,0.50235,1.10159,0.57976,0.99041,0.000102709,0.000102709,0.000102709
77,671.391,0.89484,0.46103,0.89094,0.87917,0.65453,0.75553,0.50548,1.08885,0.55585,0.99502,8.50255e-05,8.50255e-05,8.50255e-05
78,679.291,0.87134,0.44278,0.88075,0.91312,0.65231,0.74445,0.4984,1.08299,0.56725,0.98425,6.73416e-05,6.73416e-05,6.73416e-05
79,687.003,0.86109,0.43723,0.87673,0.90284,0.66637,0.76302,0.51155,1.08466,0.54442,0.98346,4.96578e-05,4.96578e-05,4.96578e-05
80,694.681,0.86336,0.44283,0.87993,0.92085,0.66157,0.75905,0.50953,1.08659,0.55378,0.98396,3.19739e-05,3.19739e-05,3.19739e-05
